Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,GridRefXY,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,,,Latitude,Longitude
477,894,"http://www.streetmap.co.uk/map?X=228900&Y=842615&SV=228900,842615&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 28900 42615,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=894,Sgurr na Ruaidhe,NH 28900 42615,12,12A,993,3258,25,430,NH289426,228900,842615,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,228900,842615,57.441516,-4.8524618
478,895,"http://www.streetmap.co.uk/map?X=227303&Y=843890&SV=227303,843890&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 27303 43890,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=895,Carn nan Gobhar,NH 27303 43890,12,12A,992,3255,25,430,NH273438,227303,843890,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,227303,843890,57.452349,-4.879932
479,884,"http://www.streetmap.co.uk/map?X=225835&Y=843056&SV=225835,843056&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 25835 43056,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=884,Sgurr a' Choire Ghlais,NH 25835 43056,12,12A,1083,3553,25,430,NH258430,225835,843056,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,225835,843056,57.444307,-4.9037694
480,886,"http://www.streetmap.co.uk/map?X=223580&Y=843754&SV=223580,843754&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 23580 43754,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=886,Sgurr Fhuar-thuill,NH 23580 43754,12,12A,1049,3442,25,430,NH235437,223580,843754,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,223580,843754,57.449698,-4.9417915
481,888,"http://www.streetmap.co.uk/map?X=224477&Y=843505&SV=224477,843505&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 24477 43505,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=888,Sgurr Fhuar-thuill - Creag Ghorm a' Bhealaich,NH 24477 43505,12,12A,1030,3379,25,430,NH244435,224477,843505,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,224477,843505,57.447812,-4.9266862
482,889,"http://www.streetmap.co.uk/map?X=222820&Y=843732&SV=222820,843732&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 22820 43732,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=889,Sgurr Fhuar-thuill - Sgurr na Fearstaig,NH 22820 43732,12,12A,1015,3330,25,430,NH228437,222820,843732,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,222820,843732,57.449204,-4.9544223
483,899,"http://www.streetmap.co.uk/map?X=210114&Y=849939&SV=210114,849939&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 10114 49939,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=899,Moruisg,NH 10114 49939,12,12A,928,3045,25,429 430,NH101499,210114,849939,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,210114,849939,57.499738,-5.1706388
484,900,"http://www.streetmap.co.uk/map?X=208724&Y=848063&SV=208724,848063&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 08724 48063,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=900,Sgurr nan Ceannaichean,NH 08724 48063,12,12A,913.43,2997,25,429,NH087480,208724,848063,,,,,,,MUN,MUN,MUN,MUN,,208724,848063,57.482328,-5.1923253
485,890,"http://www.streetmap.co.uk/map?X=213506&Y=845853&SV=213506,845853&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 13506 45853,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=890,Maoile Lunndaidh,NH 13506 45853,12,12A,1004.9,3297,25,430,NH135458,213506,845853,MUN,TOP,TOP,TOP,TOP,TOP,MUN,MUN,MUN,MUN,MUN,213506,845853,57.464498,-5.1110061
486,891,"http://www.streetmap.co.uk/map?X=213082&Y=845325&SV=213082,845325&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 13082 45325,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=891,Maoile Lunndaidh - Creag Toll a' Choin,NH 13082 45325,12,12A,1005.3,3298,25,430,NH130453,213082,845325,TOP,MUN,MUN,MUN,MUN,MUN,,,,,,213082,845325,57.459588,-5.1176598
487,893,"http://www.streetmap.co.uk/map?X=212370&Y=845504&SV=212370,845504&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 12370 45504,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=893,Maoile Lunndaidh - Carn nam Fiaclan,NH 12370 45504,12,12A,993,3258,25,430,NH123455,212370,845504,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,212370,845504,57.460899,-5.1296463
488,885,"http://www.streetmap.co.uk/map?X=208749&Y=844738&SV=208749,844738&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 08749 44738,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=885,Sgurr a' Chaorachain,NH 08749 44738,12,12A,1053,3455,25,429,NH087447,208749,844738,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,208749,844738,57.452518,-5.1893078
489,887,"http://www.streetmap.co.uk/map?X=210361&Y=844324&SV=210361,844324&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 10361 44324,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=887,Sgurr a' Chaorachain - Bidean an Eoin Deirg,NH 10361 44324,12,12A,1046.6,3434,25,429 430,NH103443,210361,844324,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,210361,844324,57.449481,-5.162166
490,892,"http://www.streetmap.co.uk/map?X=207625&Y=844627&SV=207625,844627&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 07625 44627,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=892,Sgurr Choinnich,NH 07625 44627,12,12A,999.3,3279,25,429,NH076446,207625,844627,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,207625,844627,57.451048,-5.2079213
491,898,"http://www.streetmap.co.uk/map?X=204906&Y=841265&SV=204906,841265&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 04906 41265,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=898,Bidein a' Choire Sheasgaich,NH 04906 41265,12,12A,945,3100,25,429,NH049412,204906,841265,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,204906,841265,57.419736,-5.2504783
492,896,"http://www.streetmap.co.uk/map?X=206480&Y=840451&SV=206480,840451&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 06480 40451,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=896,Lurg Mhor,NH 06480 40451,12,12A,987,3238,25,429,NH064404,206480,840451,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,206480,840451,57.413109,-5.2236724
493,897,"http://www.streetmap.co.uk/map?X=207210&Y=840578&SV=207210,840578&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 07210 40578,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=897,Lurg Mhor - Meall Mor,NH 07210 40578,12,12A,974,3196,25,429,NH072405,207210,840578,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,207210,840578,57.414558,-5.2116398
494,936,"http://www.streetmap.co.uk/map?X=218188&Y=834362&SV=218188,834362&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 18188 34362,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=936,Carn nan Gobhar,NH 18188 34362,12,12B,993,3258,25,430,NH181343,218188,834362,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,218188,834362,57.363323,-5.024554
495,939,"http://www.streetmap.co.uk/map?X=219970&Y=835076&SV=219970,835076&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 19970 35076,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=939,Carn nan Gobhar - Creag Dubh,NH 19970 35076,12,12B,947,3107,25,430,NH199350,219970,835076,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,219970,835076,57.370436,-4.9954942
496,926,"http://www.streetmap.co.uk/map?X=216103&Y=835125&SV=216103,835125&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 16103 35125,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=926,Sgurr na Lapaich,NH 16103 35125,12,12B,1151,3776,25,430,NH161351,216103,835125,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,216103,835125,57.36933,-5.0597345
497,933,"http://www.streetmap.co.uk/map?X=216320&Y=835610&SV=216320,835610&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 16320 35610,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=933,Sgurr na Lapaich - Rubha na Spreidhe,NH 16320 35610,12,12B,1057,3468,25,430,NH163356,216320,835610,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,216320,835610,57.373768,-5.0564939
498,937,"http://www.streetmap.co.uk/map?X=216800&Y=833800&SV=216800,833800&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 16800 33800,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=937,Sgurr na Lapaich - Creag a' Chaorainn,NH 16800 33800,12,12B,969,3179,25,430,NH168338,216800,833800,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,216800,833800,57.357726,-5.0471763
499,935,"http://www.streetmap.co.uk/map?X=215689&Y=833437&SV=215689,833437&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 15689 33437,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=935,Sgurr na Lapaich - Braigh a' Choire Bhig,NH 15689 33437,12,12B,1008,3307,25,415 430,NH156334,215689,833437,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,215689,833437,57.354022,-5.065344
500,929,"http://www.streetmap.co.uk/map?X=216171&Y=834240&SV=216171,834240&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 16171 34240,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=929,Sgurr na Lapaich - Sgurr nan Clachan Geala,NH 16171 34240,12,12B,1093,3586,25,430,NH161342,216171,834240,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,216171,834240,57.361419,-5.0579445
501,927,"http://www.streetmap.co.uk/map?X=213363&Y=834483&SV=213363,834483&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 13363 34483,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=927,An Riabhachan,NH 13363 34483,12,12B,1129,3704,25,430,NH133344,213363,834483,MUN,,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,213363,834483,57.362457,-5.1047363
502,928,"http://www.streetmap.co.uk/map?X=213824&Y=834761&SV=213824,834761&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 13824 34761,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=928,An Riabhachan NE Top,NH 13824 34761,12,12B,1125,3691,25,430,NH138347,213824,834761,,MUN,,,,,TOP,TOP,TOP,,,213824,834761,57.365139,-5.0972947
503,930,"http://www.streetmap.co.uk/map?X=212286&Y=833617&SV=212286,833617&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 12286 33617,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=930,An Riabhachan SW Top,NH 12286 33617,12,12B,1086,3563,25,430,NH122336,212286,833617,,,,,,,TOP,TOP,TOP,TOP,TOP,212286,833617,57.354247,-5.1219525
504,934,"http://www.streetmap.co.uk/map?X=211733&Y=833774&SV=211733,833774&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 11733 33774,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=934,An Riabhachan West Top,NH 11733 33774,12,12B,1038,3406,25,429 430,NH117337,211733,833774,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,211733,833774,57.355427,-5.1312492
505,931,"http://www.streetmap.co.uk/map?X=210061&Y=833274&SV=210061,833274&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 10061 33274,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=931,An Socach,NH 10061 33274,12,12B,1069,3507,25,429 430,NH100332,210061,833274,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,210061,833274,57.350249,-5.1586097
506,957,"http://www.streetmap.co.uk/map?X=186565&Y=861270&SV=186565,861270&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 86565 61270,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=957,Sgurr Mhor (Beinn Alligin),NG 86565 61270,13,13A,986,3235,19 24,433,NG865612,186565,861270,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,186565,861270,57.590843,-5.5727648
507,968,"http://www.streetmap.co.uk/map?X=185958&Y=860153&SV=185958,860153&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 85958 60153,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=968,Tom na Gruagaich (Beinn Alligin),NG 85958 60153,13,13A,922,3025,19 24,433,NG859601,185958,860153,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,185958,860153,57.580542,-5.5819127
508,953,"http://www.streetmap.co.uk/map?X=192934&Y=857969&SV=192934,857969&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 92934 57969,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=953,Spidean a' Choire Leith (Liathach),NG 92934 57969,13,13A,1054.8,3461,25,433,NG929579,192934,857969,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,192934,857969,57.564212,-5.4636111
509,954,"http://www.streetmap.co.uk/map?X=191188&Y=857689&SV=191188,857689&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 91188 57689,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=954,Mullach an Rathain (Liathach),NG 91188 57689,13,13A,1023.8,3359,25,433,NG911576,191188,857689,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,MUN,MUN,MUN,191188,857689,57.560898,-5.4925003
510,958,"http://www.streetmap.co.uk/map?X=193288&Y=858110&SV=193288,858110&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 93288 58110,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=958,Spidean a' Choire Leith (Liathach) - Stob a' Choire Liath Mhor,NG 93288 58110,13,13A,983.5,3227,25,433,NG932581,193288,858110,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,193288,858110,57.565638,-5.4578248
511,963,"http://www.streetmap.co.uk/map?X=191383&Y=857944&SV=191383,857944&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 91383 57944,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=963,Mullach an Rathain (Liathach) - Meall Dearg [Northern Pinnacles],NG 91383 57944,13,13A,955,3133,25,433,NG913579,191383,857944,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,191383,857944,57.563275,-5.4894662
512,967,"http://www.streetmap.co.uk/map?X=192340&Y=857470&SV=192340,857470&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 92340 57470,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=967,Mullach an Rathain (Liathach) - Am Fasarinen,NG 92340 57470,13,13A,928.6,3047,25,433,NG923574,192340,857470,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,192340,857470,57.559465,-5.473095
513,969,"http://www.streetmap.co.uk/map?X=194217&Y=858225&SV=194217,858225&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 94217 58225,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=969,Spidean a' Choire Leith (Liathach) - Stuc a' Choire Dhuibh Bhig,NG 94217 58225,13,13A,915.4,3003,25,433,NG942582,194217,858225,TOP,TOP,TOP,TOP,TOP,,,,,TOP,TOP,194217,858225,57.567093,-5.4424217
514,955,"http://www.streetmap.co.uk/map?X=195142&Y=861152&SV=195142,861152&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 95142 61152,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=955,Ruadh-stac Mor (Beinn Eighe),NG 95142 61152,13,13A,1010,3314,19,433,NG951611,195142,861152,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,195142,861152,57.593758,-5.429458
515,956,"http://www.streetmap.co.uk/map?X=196615&Y=859780&SV=196615,859780&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 96615 59780,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=956,Spidean Coire nan Clach (Beinn Eighe),NG 96615 59780,13,13A,993,3258,25,433,NG966597,196615,859780,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,196615,859780,57.582121,-5.4037103
516,959,"http://www.streetmap.co.uk/map?X=193815&Y=860587&SV=193815,860587&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 93815 60587,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=959,Spidean Coire nan Clach (Beinn Eighe) - Sail Mhor,NG 93815 60587,13,13A,980,3215,19,433,NG938605,193815,860587,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,193815,860587,57.588088,-5.4511358
517,964,"http://www.streetmap.co.uk/map?X=195020&Y=860100&SV=195020,860100&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 95020 60100,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=964,Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor (1974 position),NG 95020 60100,13,13A,954,3130,19,433,NG950601,195020,860100,,,,,,TOP,,,,,,195020,860100,57.58427,-5.4306061
518,960,"http://www.streetmap.co.uk/map?X=194447&Y=860017&SV=194447,860017&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 94447 60017,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=960,Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor,NG 94447 60017,13,13A,976,3202,19,433,NG944600,194447,860017,TOP,TOP,TOP,TOP,TOP,,TOP,TOP,TOP,TOP,TOP,194447,860017,57.583265,-5.4401013
519,961,"http://www.streetmap.co.uk/map?X=197455&Y=860020&SV=197455,860020&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 97455 60020,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=961,Spidean Coire nan Clach (Beinn Eighe) - Sgurr Ban,NG 97455 60020,13,13A,970,3182,19,433,NG974600,197455,860020,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,197455,860020,57.584651,-5.389888
520,962,"http://www.streetmap.co.uk/map?X=198164&Y=860021&SV=198164,860021&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 98164 60021,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=962,Spidean Coire nan Clach (Beinn Eighe) - Sgurr nan Fhir Duibhe,NG 98164 60021,13,13A,963,3159,19,433,NG981600,198164,860021,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,198164,860021,57.584977,-5.3780521
521,966,"http://www.streetmap.co.uk/map?X=198563&Y=860786&SV=198563,860786&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 98563 60786,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=966,Spidean Coire nan Clach (Beinn Eighe) - Creag Dhubh,NG 98563 60786,13,13A,910,2986,19,433,NG985607,198563,860786,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,198563,860786,57.592015,-5.372026
522,981,"http://www.streetmap.co.uk/map?X=195907&Y=850506&SV=195907,850506&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 95907 50506,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=981,Sgorr Ruadh,NG 95907 50506,13,13B,960.7,3152,25,429,NG959505,195907,850506,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,195907,850506,57.498647,-5.4077502
523,982,"http://www.streetmap.co.uk/map?X=192406&Y=849911&SV=192406,849911&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 92406 49911,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=982,Maol Chean-dearg,NG 92406 49911,13,13B,933,3061,25,429,NG924499,192406,849911,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,192406,849911,57.491722,-5.4655511
524,983,"http://www.streetmap.co.uk/map?X=196409&Y=851982&SV=196409,851982&A=Y&Z=115",http://www.geograph.org.uk/gridref/NG 96409 51982,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=983,Beinn Liath Mhor,NG 96409 51982,13,13B,926,3038,25,429,NG964519,196409,851982,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,196409,851982,57.512107,-5.4006214
525,1010,"http://www.streetmap.co.uk/map?X=200468&Y=869076&SV=200468,869076&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 00468 69076,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1010,Slioch,NH 00468 69076,14,14A,981,3219,19,433 435S,NH004690,200468,869076,,,,MUN,MUN,MUN,TOP,TOP,TOP,MUN,MUN,200468,869076,57.667197,-5.3470532
526,1012,"http://www.streetmap.co.uk/map?X=200499&Y=868874&SV=200499,868874&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 00499 68874,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1012,Slioch - Trig Point,NH 00499 68874,14,14A,980,3215,19,433 435S,NH004688,200499,868874,MUN,MUN,MUN,,,,MUN,MUN,MUN,,,200499,868874,57.6654,-5.3463675
527,1020,"http://www.streetmap.co.uk/map?X=201856&Y=868875&SV=201856,868875&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 01856 68875,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1020,Slioch - Sgurr an Tuill Bhain,NH 01856 68875,14,14A,934,3064,19,433 435S,NH018688,201856,868875,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,201856,868875,57.666008,-5.3236616
528,1023,"http://www.streetmap.co.uk/map?X=201853&Y=875655&SV=201853,875655&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 01853 75655,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1023,Ruadh Stac Mor,NH 01853 75655,14,14A,918.7,3014,19,433 435S,NH018756,201853,875655,,,,,,MUN,MUN,MUN,MUN,MUN,MUN,201853,875655,57.726803,-5.3292905
529,1014,"http://www.streetmap.co.uk/map?X=200776&Y=874913&SV=200776,874913&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 00776 74913,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1014,A' Mhaighdean,NH 00776 74913,14,14A,967,3173,19,433 435S,NH007749,200776,874913,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,200776,874913,57.719673,-5.3467272
530,1019,"http://www.streetmap.co.uk/map?X=203960&Y=872794&SV=203960,872794&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 03960 72794,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1019,Beinn Tarsuinn,NH 03960 72794,14,14A,933.8,3064,19,435S,NH039727,203960,872794,,,,,,MUN,MUN,MUN,MUN,MUN,MUN,203960,872794,57.702072,-5.2916415
531,1007,"http://www.streetmap.co.uk/map?X=205206&Y=873511&SV=205206,873511&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 05206 73511,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1007,Mullach Coire Mhic Fhearchair,NH 05206 73511,14,14A,1015.2,3331,19,435S,NH052735,205206,873511,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,205206,873511,57.709043,-5.2713503
532,1011,"http://www.streetmap.co.uk/map?X=205626&Y=873390&SV=205626,873390&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 05626 73390,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1011,Mullach Coire Mhic Fhearchair East Top,NH 05626 73390,14,14A,977.8,3208,19,435S,NH056733,205626,873390,,,,,,,TOP,TOP,TOP,TOP,TOP,205626,873390,57.70814,-5.2642158
533,1022,"http://www.streetmap.co.uk/map?X=206051&Y=872924&SV=206051,872924&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 06051 72924,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1022,Mullach Coire Mhic Fhearchair - Sgurr Dubh,NH 06051 72924,14,14A,915.4,3003,19,435S,NH060729,206051,872924,,,,,,,TOP,TOP,TOP,TOP,TOP,206051,872924,57.704145,-5.2567198
534,1009,"http://www.streetmap.co.uk/map?X=205581&Y=874554&SV=205581,874554&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 05581 74554,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1009,Sgurr Ban,NH 05581 74554,14,14A,989,3245,19,435S,NH055745,205581,874554,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,205581,874554,57.718559,-5.2659105
535,1024,"http://www.streetmap.co.uk/map?X=206135&Y=877581&SV=206135,877581&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 06135 77581,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1024,Beinn a' Chlaidheimh,NH 06135 77581,14,14A,913.96,2999,19,435N 435S,NH061775,206135,877581,,,,,,MUN,MUN,MUN,MUN,MUN,,206135,877581,57.745943,-5.259069
536,1003,"http://www.streetmap.co.uk/map?X=206896&Y=884366&SV=206896,884366&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 06896 84366,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1003,Bidein a' Ghlas Thuill (An Teallach),NH 06896 84366,14,14A,1062.5,3486,19,435N,NH068843,206896,884366,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,206896,884366,57.807117,-5.2517758
537,1013,"http://www.streetmap.co.uk/map?X=207619&Y=885377&SV=207619,885377&A=Y&Z=115",http://www.geograph.org.uk/gridref/NH 07619 85377,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1013,Bidein a' Ghlas Thuill (An Teallach) - Glas Mheall Mor,NH 07619 85377,14,14A,979.5,3214,19,435N,NH076853,207619,885377,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,207619,885377,57.816494,-5.2404433
